          1|    60.3x 3.00|  3.919|  3.798|  3.746|M16- 8.8     |27/18| 4x30|        | 75- 75|    1| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
          2|    60.3x 3.00|  3.347|  3.226|  3.174|M16- 8.8     |27/18| 4x30|        | 75- 75|    1| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
          3|    60.3x 3.00|  3.766|  3.645|  3.592|M16- 8.8     |27/18| 4x30|        | 75- 75|    2| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
          4|    60.3x 3.00|  3.919|  3.790|  3.738|M16- 8.8     |27/18| 4x30|        | 75- 90|    2| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
          5|    60.3x 3.00|  3.664|  3.535|  3.483|M16- 8.8     |27/18| 4x30|        | 75- 90|    6| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
          6|    60.3x 3.00|  3.539|  3.410|  3.358|M16- 8.8     |27/18| 4x30|        | 75- 90|    2| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
          7|    60.3x 3.00|  3.597|  3.424|  3.372|M16- 8.8     |27/18| 4x30|        | 75-190|    2| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
          8|    60.3x 3.00|  3.347|  3.211|  3.159|M16- 8.8     |27/18| 4x30|        | 90- 90|   23| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
          9|    60.3x 3.00|  3.389|  3.253|  3.201|M16- 8.8     |27/18| 4x30|        | 90- 90|   22| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         10|    60.3x 3.00|  2.525|  2.389|  2.337|M16- 8.8     |27/18| 4x30|        | 90- 90|   23| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         11|    60.3x 3.00|  2.810|  2.674|  2.622|M16- 8.8     |27/18| 4x30|        | 90- 90|   23| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
